5,0.66,0.66,0.607,-0.227,0.567
9,0.4,0.343,-0.023,0.271,0.271
10,1.0,-1.0,-0.5,1.0,1.0
12,1.0,-1.0,1.0,-0.5,1.0
13,0.8,0.8,0.8,0.8,0.8
14,0.809,0.845,0.845,0.445,0.445
15,0.861,0.334,0.34,0.223,0.825
16,0.7,0.725,0.325,0.375,0.075
17,0.783,0.367,-0.083,0.15,0.553
18,0.829,0.829,0.357,0.143,0.829
